company,strategy_total_return,strategy_annualized_return,strategy_annualized_volatility,strategy_sharpe_ratio,strategy_max_drawdown,strategy_hit_ratio,strategy_observations,benchmark_50_50_total_return,benchmark_50_50_annualized_return,benchmark_50_50_annualized_volatility,benchmark_50_50_sharpe_ratio,benchmark_50_50_max_drawdown,benchmark_50_50_hit_ratio,benchmark_50_50_observations,ibovespa_total_return,ibovespa_annualized_return,ibovespa_annualized_volatility,ibovespa_sharpe_ratio,ibovespa_max_drawdown,ibovespa_hit_ratio,ibovespa_observations,strategy_final_value,benchmark_50_50_final_value,ibovespa_final_value,strategy_final_cumulative_return,benchmark_50_50_final_cumulative_return,ibovespa_final_cumulative_return,strategy_excess_return_vs_50_50,strategy_excess_return_vs_ibovespa,benchmark_50_50_excess_return_vs_ibovespa,total_tax_paid,total_transaction_cost,total_realized_pnl,gross_sale_value,gross_buy_value,number_of_trading_days,number_of_trade_days,final_weight_on,final_weight_pn,final_target_weight_on,final_target_weight_pn,policy_group,last_signal,final_accumulated_loss
BTG,6.243783686058433,0.3965433370444893,0.4441100067430877,0.8928943978375269,-0.48611117794689707,0.49095780308104486,1494,2.3322513603619925,0.22510308417116276,0.41316755566147734,0.5448227506895473,-0.5455910063275894,0.5016744809109176,1494,0.35886753308088704,0.05308544668780302,0.24341825340076537,0.2180832618185079,-0.4681580884813601,0.5157401205626256,1494,7.243783686058433,3.3322513603619925,1.358867533080887,6.243783686058433,2.3322513603619925,0.35886753308088704,3.9115323256964403,5.884916152977546,1.9733838272811055,0.0,0.0,5.624027901105695,74.9915125568188,74.9915125568188,1494,84,0.0,1.0,0.0,1.0,forced_default_rotation,overweight_pn,0.0
UNIP,4.327836629996098,0.3260220751574654,0.36443538806100195,0.8945949977363158,-0.5804239965492193,0.5117213663764233,1494,2.866927549238783,0.25624338836895233,0.3397399384022184,0.7542339283807886,-0.5338723489488337,0.5090421969189551,1494,0.35886753308088704,0.05308544668780302,0.24341825340076537,0.2180832618185079,-0.4681580884813601,0.5157401205626256,1494,5.327836629996098,3.866927549238783,1.358867533080887,4.327836629996098,2.866927549238783,0.35886753308088704,1.4609090807573155,3.9689690969152114,2.508060016157896,0.0,0.0,4.440195151633958,84.96505859183723,84.96505859183723,1494,54,0.0,1.0,0.0,1.0,forced_default_rotation,overweight_pn,0.0
ISAE,1.6763850675162075,0.18063765666093157,0.20834634614669953,0.867006597436281,-0.24481009747023497,0.5110515740120563,1494,0.9137657173999283,0.11570018080390088,0.19414817658529007,0.5959375093748219,-0.24674461552094074,0.5164099129269927,1494,0.35886753308088704,0.05308544668780302,0.24341825340076537,0.2180832618185079,-0.4681580884813601,0.5157401205626256,1494,2.6763850675162075,1.9137657173999283,1.358867533080887,1.6763850675162075,0.9137657173999283,0.35886753308088704,0.7626193501162792,1.3175175344353205,0.5548981843190413,0.0,0.0,1.373976683575433,41.7062949395402,41.7062949395402,1494,53,1.0,0.0,1.0,0.0,forced_default_rotation,hold_previous_allocation,0.0
SAPR,1.288381235829327,0.14985569589401515,0.31538196571332355,0.4751561984689741,-0.4665164447764707,0.49296718017414604,1494,0.8080095880624236,0.10505337556812089,0.3120030517869713,0.3367062436294661,-0.5251782008596091,0.5016744809109176,1494,0.35886753308088704,0.05308544668780302,0.24341825340076537,0.2180832618185079,-0.4681580884813601,0.5157401205626256,1494,2.288381235829327,1.8080095880624236,1.358867533080887,1.288381235829327,0.8080095880624236,0.35886753308088704,0.48037164776690333,0.9295137027484399,0.4491420549815366,0.0,0.0,0.8380216913016562,23.173362047365668,23.173362047365668,1494,47,0.509332727106944,0.490667272893056,0.5,0.5,forced_default_rotation,hold_previous_allocation,0.0
GGBR,1.2940973246345684,0.15033966028687762,0.38721829787852374,0.38825556826873264,-0.6113454661736626,0.5050234427327528,1494,0.9197510235830118,0.11628798296870047,0.3695505583406601,0.3146740827313365,-0.6094617181644439,0.5117213663764233,1494,0.35886753308088704,0.05308544668780302,0.24341825340076537,0.2180832618185079,-0.4681580884813601,0.5157401205626256,1494,2.2940973246345684,1.9197510235830118,1.358867533080887,1.2940973246345684,0.9197510235830118,0.35886753308088704,0.37434630105155664,0.9352297915536814,0.5608834905021247,0.0,0.0,0.943600712128615,36.027559027843644,36.027559027843644,1494,45,1.0,0.0,1.0,0.0,moderate_rotation,overweight_on,0.15084450800696914
TAEE,1.7927684506584245,0.18914498162047844,0.18737409218720846,1.0094510901299025,-0.19942490889108921,0.5083724045545881,1494,1.480699584234697,0.1656137984234647,0.1857199649787457,0.8917393369227588,-0.23706953237215878,0.5097119892833222,1494,0.35886753308088704,0.05308544668780302,0.24341825340076537,0.2180832618185079,-0.4681580884813601,0.5157401205626256,1494,2.7927684506584245,2.480699584234697,1.358867533080887,1.7927684506584245,1.480699584234697,0.35886753308088704,0.31206886642372744,1.4339009175775375,1.12183205115381,0.0,0.0,1.7225505168733415,96.20437485673637,96.20437485673637,1494,101,0.5004118769115792,0.4995881230884208,0.5,0.5,forced_default_rotation,hold_previous_allocation,0.1232380369536068
ALUP,0.8206986527031936,0.10635773928601422,0.2759852784754113,0.38537468329308033,-0.37485797835103707,0.5110515740120563,1494,0.6215067159437888,0.08494564834589324,0.25157737422674353,0.33765217801078085,-0.2937336176732698,0.5123911587407903,1494,0.35886753308088704,0.05308544668780302,0.24341825340076537,0.2180832618185079,-0.4681580884813601,0.5157401205626256,1494,1.8206986527031936,1.6215067159437888,1.358867533080887,0.8206986527031936,0.6215067159437888,0.35886753308088704,0.19919193675940483,0.4618311196223066,0.2626391828629018,0.0,0.0,0.8080504054513751,39.51594121252414,39.51594121252414,1494,73,0.0,1.0,0.0,1.0,forced_default_rotation,hold_previous_allocation,0.0
BBDC,-0.04006290426474568,-0.006872962857250475,0.34832655813682284,-0.019731377630271798,-0.527915063485785,0.5023442732752846,1494,-0.09716705118382585,-0.017093761352223624,0.3474481771835772,-0.04919801707059177,-0.541584585530193,0.506363027461487,1494,0.35886753308088704,0.05308544668780302,0.24341825340076537,0.2180832618185079,-0.4681580884813601,0.5157401205626256,1494,0.9599370957352543,0.9028329488161742,1.358867533080887,-0.04006290426474568,-0.09716705118382585,0.35886753308088704,0.05710414691908017,-0.3989304373456327,-0.4560345842647129,0.0,0.0,-0.30160305013147104,9.842618092707795,9.842618092707795,1494,29,1.0,0.0,1.0,0.0,moderate_rotation,hold_previous_allocation,0.30160305013147104
PETR,2.4586032399631685,0.23281786917547587,0.4233099049893571,0.5499939085557882,-0.6497569110497652,0.521098459477562,1494,2.4435913106124874,0.23191365867853353,0.42315887502361094,0.5480533964119114,-0.6495353626230906,0.522438044206296,1494,0.35886753308088704,0.05308544668780302,0.24341825340076537,0.2180832618185079,-0.4681580884813601,0.5157401205626256,1494,3.4586032399631685,3.4435913106124874,1.358867533080887,2.4586032399631685,2.4435913106124874,0.35886753308088704,0.015011929350681186,2.0997357068822815,2.0847237775316003,0.0,0.0,0.05460036703737811,0.15528099855556057,0.15528099855556057,1494,4,0.49097147244021383,0.5090285275597861,0.5,0.5,conservative_preservation,hold_previous_allocation,0.0
ITUB,0.789986576636998,0.1031875691074291,0.28745045476229947,0.35897514649179346,-0.4104833175983331,0.5097119892833222,1494,0.7853352442374422,0.1027035121314146,0.28691595356173794,0.3579567844048626,-0.40897101443610884,0.5110515740120563,1494,0.35886753308088704,0.05308544668780302,0.24341825340076537,0.2180832618185079,-0.4681580884813601,0.5157401205626256,1494,1.789986576636998,1.7853352442374422,1.358867533080887,0.789986576636998,0.7853352442374422,0.35886753308088704,0.004651332399555841,0.43111904355611097,0.42646771115655513,0.0,0.0,-0.027935324447733962,0.9840679064981549,0.9840679064981549,1494,38,0.4926108303553713,0.5073891696446287,0.475,0.525,defensive_rotation,overweight_pn,0.02793532444773396
