calculation_month,calculation_date,tax_payment_date,monthly_realized_pnl,monthly_sales_value,monthly_transaction_cost,monthly_tax_base,loss_used,taxable_profit,tax_due,accumulated_loss_after
2020-01,2020-01-31,2020-02-28,0.013878306616400958,0.5149249949627269,0.0,0.013878306616400958,0.0,0.013878306616400958,0.0020817459924601434,0.0
2020-02,2020-02-28,2020-03-31,-0.013936111961380357,0.10741777273295522,0.0,-0.013936111961380357,0.0,0.0,0.0,0.013936111961380357
2020-03,2020-03-31,2020-04-30,-0.043177765430368914,0.4195356781062757,0.0,-0.043177765430368914,0.0,0.0,0.0,0.05711387739174927
2020-04,2020-04-30,2020-05-29,-0.04109996020179406,0.2177103516785422,0.0,-0.04109996020179406,0.0,0.0,0.0,0.09821383759354332
2020-05,2020-05-29,2020-06-30,0.0015887667036350328,0.09076789481922438,0.0,0.0015887667036350328,0.0015887667036350328,0.0,0.0,0.0966250708899083
2020-06,2020-06-30,2020-07-31,0.010465693806179408,0.10726745573264282,0.0,0.010465693806179408,0.010465693806179408,0.0,0.0,0.08615937708372888
2020-07,2020-07-31,2020-08-31,0.03898140471279947,0.06619559618074142,0.0,0.03898140471279947,0.03898140471279947,0.0,0.0,0.04717797237092941
2020-08,2020-08-31,2020-09-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04717797237092941
2020-09,2020-09-30,2020-10-30,0.015313605514110214,0.0885308984118463,0.0,0.015313605514110214,0.015313605514110214,0.0,0.0,0.0318643668568192
2020-10,2020-10-30,2020-11-30,0.001604767614012799,0.16282538989178352,0.0,0.001604767614012799,0.001604767614012799,0.0,0.0,0.030259599242806398
2020-11,2020-11-30,2020-12-30,-0.0006177775137398527,0.18393598816411194,0.0,-0.0006177775137398527,0.0,0.0,0.0,0.03087737675654625
2020-12,2020-12-30,2021-01-29,0.002755425750553255,0.13871233174272676,0.0,0.002755425750553255,0.002755425750553255,0.0,0.0,0.028121951005992997
2021-01,2021-01-29,2021-02-26,0.023720861257835908,0.2454310794392573,0.0,0.023720861257835908,0.023720861257835908,0.0,0.0,0.004401089748157089
2021-02,2021-02-26,2021-03-31,0.022023708068350963,0.05350453975822992,0.0,0.022023708068350963,0.004401089748157089,0.017622618320193875,0.002643392748029081,0.0
