company,strategy_total_return,strategy_annualized_return,strategy_annualized_volatility,strategy_sharpe_ratio,strategy_max_drawdown,strategy_hit_ratio,strategy_observations,benchmark_50_50_total_return,benchmark_50_50_annualized_return,benchmark_50_50_annualized_volatility,benchmark_50_50_sharpe_ratio,benchmark_50_50_max_drawdown,benchmark_50_50_hit_ratio,benchmark_50_50_observations,ibovespa_total_return,ibovespa_annualized_return,ibovespa_annualized_volatility,ibovespa_sharpe_ratio,ibovespa_max_drawdown,ibovespa_hit_ratio,ibovespa_observations,strategy_final_value,benchmark_50_50_final_value,ibovespa_final_value,strategy_final_cumulative_return,benchmark_50_50_final_cumulative_return,ibovespa_final_cumulative_return,strategy_excess_return_vs_50_50,strategy_excess_return_vs_ibovespa,benchmark_50_50_excess_return_vs_ibovespa,total_tax_paid,total_transaction_cost,total_realized_pnl,gross_sale_value,gross_buy_value,number_of_trading_days,number_of_trade_days,final_weight_on,final_weight_pn,final_target_weight_on,final_target_weight_pn,policy_group,last_signal,final_accumulated_loss
BTG,4.791995791330732,0.3448375389139797,0.44476388333611033,0.7753272058140211,-0.4916731980796305,0.4896182183523108,1494,2.3322513603619925,0.22510308417116276,0.41316755566147734,0.5448227506895473,-0.5455910063275894,0.5016744809109176,1494,0.35886753308088704,0.05308544668780302,0.24341825340076537,0.2180832618185079,-0.4681580884813601,0.5157401205626256,1494,5.763179891871374,3.3322513603619925,1.358867533080887,4.763179891871374,2.3322513603619925,0.35886753308088704,2.459744430968739,4.433128258249845,1.9733838272811055,0.0,0.6486965987745226,4.309688584720508,65.19400817683952,64.545311578065,1494,86,0.0,1.0,0.0,1.0,forced_default_rotation,overweight_pn,0.0
UNIP,3.181014409222529,0.2729006187360914,0.36478984523642227,0.7481036610523603,-0.5853147485973613,0.507032819825854,1494,2.866927549238783,0.25624338836895233,0.3397399384022184,0.7542339283807886,-0.5338723489488337,0.5090421969189551,1494,0.35886753308088704,0.05308544668780302,0.24341825340076537,0.2180832618185079,-0.4681580884813601,0.5157401205626256,1494,4.181014409222529,3.866927549238783,1.358867533080887,3.181014409222529,2.866927549238783,0.35886753308088704,0.3140868599837461,2.822146876141642,2.508060016157896,0.0,0.7387634775552121,3.2905335837166394,74.24572949429881,73.5069660167436,1494,52,0.0,1.0,0.0,1.0,forced_default_rotation,overweight_pn,0.23473408555224373
ISAE,1.1002256687937546,0.13333451225764836,0.20879950634605063,0.6385767600267621,-0.24862758599355128,0.5043536503683858,1494,0.9137657173999283,0.11570018080390088,0.19414817658529007,0.5959375093748219,-0.24674461552094074,0.5164099129269927,1494,0.35886753308088704,0.05308544668780302,0.24341825340076537,0.2180832618185079,-0.4681580884813601,0.5157401205626256,1494,2.0897767848694078,1.9137657173999283,1.358867533080887,1.0897767848694078,0.9137657173999283,0.35886753308088704,0.18645995139382632,0.7413581357128676,0.5548981843190413,0.0,0.36282878318535505,0.8629167982193513,36.46429271012818,36.10146392694282,1494,54,1.0,0.0,1.0,0.0,forced_default_rotation,hold_previous_allocation,0.0
SAPR,0.8951132856422364,0.11385851633321131,0.3159307117540825,0.3603907822099857,-0.4922576289758822,0.49229738780977894,1494,0.8080095880624236,0.10505337556812089,0.3120030517869713,0.3367062436294661,-0.5251782008596091,0.5016744809109176,1494,0.35886753308088704,0.05308544668780302,0.24341825340076537,0.2180832618185079,-0.4681580884813601,0.5157401205626256,1494,1.8856848613355588,1.8080095880624236,1.358867533080887,0.8856848613355588,0.8080095880624236,0.35886753308088704,0.08710369757981273,0.5362457525613493,0.4491420549815366,0.0,0.20755583225121335,0.5208386429446812,20.859361141246943,20.65180530899573,1494,47,0.5068333648462374,0.4931666351537626,0.5,0.5,forced_default_rotation,hold_previous_allocation,0.0
PETR,2.455152289941858,0.23261029802971844,0.42332589397742576,0.5494828011681293,-0.6498456512005804,0.521098459477562,1494,2.4435913106124874,0.23191365867853353,0.42315887502361094,0.5480533964119114,-0.6495353626230906,0.522438044206296,1494,0.35886753308088704,0.05308544668780302,0.24341825340076537,0.2180832618185079,-0.4681580884813601,0.5157401205626256,1494,3.455152289941858,3.4435913106124874,1.358867533080887,2.455152289941858,2.4435913106124874,0.35886753308088704,0.011560979329370724,2.096284756860971,2.0847237775316003,0.0,0.0015659342068684722,0.055515304021066456,0.15737638779028143,0.15581045358341294,1494,4,0.4913946118520269,0.5086053881479731,0.5,0.5,conservative_preservation,hold_previous_allocation,0.0
ITUB,0.770998657196102,0.1012049007806517,0.2874645412644236,0.35206046747713,-0.4108112378194537,0.5097119892833222,1494,0.7853352442374422,0.1027035121314146,0.28691595356173794,0.3579567844048626,-0.40897101443610884,0.5110515740120563,1494,0.35886753308088704,0.05308544668780302,0.24341825340076537,0.2180832618185079,-0.4681580884813601,0.5157401205626256,1494,1.770998657196102,1.7853352442374422,1.358867533080887,0.770998657196102,0.7853352442374422,0.35886753308088704,-0.01433658704134011,0.412131124115215,0.42646771115655513,0.0,0.009706435195797027,-0.03534452071909132,0.9754967371776011,0.9657903019818042,1494,37,0.49273110919638646,0.5072688908036136,0.475,0.525,defensive_rotation,overweight_pn,0.03534452071909135
BBDC,-0.1658661920569331,-0.030127915342290867,0.3488929117680644,-0.08635290178184869,-0.5302613215753385,0.5003348961821835,1494,-0.09716705118382585,-0.017093761352223624,0.3474481771835772,-0.04919801707059177,-0.541584585530193,0.506363027461487,1494,0.35886753308088704,0.05308544668780302,0.24341825340076537,0.2180832618185079,-0.4681580884813601,0.5157401205626256,1494,0.8299838885005641,0.9028329488161742,1.358867533080887,-0.17001611149943585,-0.09716705118382585,0.35886753308088704,-0.06869914087310725,-0.5247337251378201,-0.4560345842647129,0.0,0.09163397191562142,-0.39313053965952216,9.209214177519952,9.11758020560433,1494,29,1.0,0.0,1.0,0.0,moderate_rotation,hold_previous_allocation,0.39313053965952216
GGBR,0.8300113784771721,0.10731023453057009,0.38762848524871363,0.2768378450353481,-0.6113454661736628,0.5030140656396517,1494,0.9197510235830118,0.11628798296870047,0.3695505583406601,0.3146740827313365,-0.6094617181644439,0.5117213663764233,1494,0.35886753308088704,0.05308544668780302,0.24341825340076537,0.2180832618185079,-0.4681580884813601,0.5157401205626256,1494,1.830011378477172,1.9197510235830118,1.358867533080887,0.8300113784771721,0.9197510235830118,0.35886753308088704,-0.08973964510583965,0.47114384539628507,0.5608834905021247,0.0,0.3160800850564158,0.5580600546462268,31.766048548169795,31.44996846311338,1494,45,1.0,0.0,1.0,0.0,moderate_rotation,overweight_on,0.30611349410098065
RAPT,-0.5748033191787558,-0.13432972041787272,0.41008658380112006,-0.3275642894063042,-0.6485550949079811,0.4768921634293369,1494,-0.41132056903502234,-0.08549857559204066,0.39188651715654615,-0.21817177128828524,-0.6556812530926568,0.49296718017414604,1494,0.35886753308088704,0.05308544668780302,0.24341825340076537,0.2180832618185079,-0.4681580884813601,0.5157401205626256,1494,0.4251966808212442,0.5886794309649777,1.358867533080887,-0.5748033191787558,-0.41132056903502234,0.35886753308088704,-0.16348275014373348,-0.9336708522596429,-0.7701881021159094,0.0,0.10229391112801779,-0.5200801177787694,10.280538068365788,10.178244157237769,1494,38,0.0,1.0,0.0,1.0,forced_default_rotation,hold_previous_allocation,0.555366889476343
ALUP,0.29665890270451767,0.044794430306352995,0.27685547354827333,0.16179716345229672,-0.3782112100452607,0.5083724045545881,1494,0.6215067159437888,0.08494564834589324,0.25157737422674353,0.33765217801078085,-0.2937336176732698,0.5123911587407903,1494,0.35886753308088704,0.05308544668780302,0.24341825340076537,0.2180832618185079,-0.4681580884813601,0.5157401205626256,1494,1.2966589027045177,1.6215067159437888,1.358867533080887,0.29665890270451767,0.6215067159437888,0.35886753308088704,-0.32484781323927114,-0.06220863037636937,0.2626391828629018,0.0,0.328099128456934,0.2932775923763403,32.973962409921874,32.64586328146493,1494,72,0.0,1.0,0.0,1.0,forced_default_rotation,hold_previous_allocation,0.0
