"Ticker","Nome","Negócios","Última (R$)","Variação"
"GRND3","Grendene","1.573.600","4,01","-0,25%"
"ISAE4","ISA Energia","1.569.000","28,20","-0,74%"
"INTB3","Intelbras","1.546.500","13,95","-2,99%"
"PMAM3","Paranapanema","1.525.500","0,48","+0,00%"
"KLBN3","Klabin","1.523.700","3,32","+0,00%"
"QUAL3","Qualicorp","1.516.300","1,87","+0,00%"
"AXIA7","Axia Energia","1.505.400","52,15","-1,06%"
"PCAR3","Grupo Pão de Açúcar","1.420.300","2,08","-1,42%"
"RIAA3","Guararapes","1.398.800","9,19","+0,22%"
"TTEN3","3tentos","1.373.500","15,76","-3,08%"
"SANB11","Banco Santander","1.363.400","27,10","-1,78%"
"AURE3","Auren Energia","1.361.400","12,45","-1,50%"
"RECV3","PetroRecôncavo","1.249.400","12,31","+0,74%"
"AXIA6","Axia Energia","1.207.800","59,28","-1,51%"
"EGIE3","Engie","1.119.000","32,31","-0,09%"
"TAEE11","Taesa","1.107.000","38,73","+0,81%"
"AZEV3","Azevedo & Travassos","1.048.900","0,19","-5,00%"
"ALUP11","Alupar","1.013.600","32,99","-0,39%"
"FESA4","Ferbasa","996.300","6,11","-0,97%"
"BMOB3","Bemobi","954.900","24,77","-0,84%"
"SOJA3","Boa Safra Sementes","944.100","6,34","-0,78%"
"PNVL3","Dimed","941.000","11,78","-2,40%"
"AZUL3","Azul","937.300","23,30","-24,33%"
"PSSA3","Porto Seguro","935.600","49,17","-0,59%"
"VULC3","Vulcabras","930.900","15,10","-0,53%"
"ORVR3","Orizon","918.300","76,70","-2,59%"
"DASA3","Dasa","910.700","3,05","-2,56%"
"EVEN3","Even","910.000","5,80","+0,17%"
"SAPR4","Sanepar","871.800","7,26","-1,22%"
"PINE4","Banco Pine","840.300","14,47","+0,91%"
"BRAP4","Bradespar","831.600","23,17","+0,39%"
"ARML3","Armac","773.500","3,37","+1,20%"
"USIM3","Usiminas","764.700","9,66","+5,34%"
"BRSR6","Banrisul","759.300","14,65","-1,15%"
"SHUL4","Schulz","754.100","4,92","+0,41%"
"ALPK3","Estapar","747.700","4,47","-2,83%"
"FIQE3","Unifique","747.400","6,40","-1,23%"
"JALL3","Jalles Machado","712.100","2,80","-2,10%"
"LAVV3","Lavvi Incorporadora","709.500","11,51","-2,04%"
"SAPR11","Sanepar","705.800","37,52","-0,27%"
"MDNE3","Moura Dubeux","702.500","27,03","-3,81%"
"SEER3","Ser Educacional","697.600","11,43","-4,67%"
"KEPL3","Kepler Weber","679.300","7,05","-0,70%"
"PASS3","COMPASS","660.800","26,90","-0,41%"
"CSED3","Cruzeiro do Sul Educacional","642.300","4,21","-3,66%"
"OIBR3","Oi","624.200","0,14","+0,00%"
