,statistical_equal_weight_pre_tax_value,statistical_equal_weight_pre_tax_return,statistical_equal_weight_pre_tax_cumulative_return,statistical_equal_weight_50_50_value,statistical_equal_weight_50_50_return,statistical_equal_weight_50_50_cumulative_return,statistical_equal_weight_ibovespa_value,statistical_equal_weight_ibovespa_return,statistical_equal_weight_ibovespa_cumulative_return,statistical_daily_realized_pnl,statistical_daily_gross_sale_value,statistical_daily_gross_buy_value,statistical_daily_transaction_cost,portfolio_tax_paid,portfolio_cumulative_tax_paid,statistical_equal_weight_value,statistical_equal_weight_return,statistical_equal_weight_cumulative_return,statistical_equal_weight_minus_50_50,statistical_equal_weight_minus_ibovespa
2020-01-02,1.0000000000000002,0.0,0.0,1.0000000000000002,0.0,0.0,1.0000000000000002,0.0,0.0,-0.0002222222222222224,0.2222222222222222,0.2217782217782218,0.000444000444000444,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.0
2020-01-03,0.9984608255345213,-0.0015391744654789097,-0.0015391744654789097,0.9980021167930182,-0.0019978832069820207,-0.0019978832069820207,0.9926964823357765,-0.007303517664223769,-0.007303517664223769,7.394265138947907e-06,0.05561856838908358,0.05550744237831619,0.00011112601076739977,0.0,0.0,0.9984608255345213,-0.0015391744654789097,-0.0015391744654789097,0.00045870874150311103,0.005764343198744859
2020-01-06,1.0088789397251476,0.010434174205131264,0.008878939725147417,1.0057453757864303,0.007758760089902728,0.005745375786430085,0.9857050087288002,-0.007042911636521154,-0.014294991271200042,0.0,0.0,0.0,0.0,0.0,0.0,1.0088789397251476,0.010434174205131264,0.008878939725147417,0.003133563938717332,0.023173930996347458
2020-01-07,1.0131717612978213,0.004255041317289487,0.01317176129782105,1.0085284444360163,0.0027671702168252654,0.00852844443601608,0.9838833461243284,-0.0018480809048754265,-0.01611665387567185,0.0,0.0,0.0,0.0,0.0,0.0,1.0131717612978213,0.004255041317289487,0.01317176129782105,0.004643316861804969,0.0292884151734929
2020-01-08,1.0045171514181868,-0.008542095437547914,0.004517151418186538,1.002786235201042,-0.005693651246678977,0.002786235201041709,0.9803833925092561,-0.0035572851485484724,-0.01961660749074412,-0.00015540031234848733,0.0030722677164838155,0.0030661293194478843,6.1383970359317e-06,0.0,0.0,1.0045171514181868,-0.008542095437547914,0.004517151418186538,0.001730916217144829,0.024133758908930658
2020-01-09,0.9969431901975259,-0.007539902340112259,-0.0030568098024743584,0.995896947625064,-0.006870145734097277,-0.004103052374936245,0.9778533055586011,-0.002580711760303611,-0.022146694441399162,0.0,0.0,0.0,0.0,0.0,0.0,0.9969431901975259,-0.007539902340112259,-0.0030568098024743584,0.0010462425724618862,0.019089884638924803
2020-01-10,0.9955923683576557,-0.0013549637062092446,-0.004407631642344478,0.9940701479801981,-0.0018343259804363132,-0.005929852019802118,0.974108776871632,-0.0038293358172266645,-0.025891223128368224,0.0,0.0,0.0,0.0,0.0,0.0,0.9955923683576557,-0.0013549637062092446,-0.004407631642344478,0.0015222203774576393,0.021483591486023745
2020-01-13,1.0080632137359202,0.012526055617357201,0.008063213735920005,1.0107730952914094,0.01680258414876379,0.01077309529140913,0.9894748382852758,0.01577448204808518,-0.010525161714724396,0.0,0.0,0.0,0.0,0.0,0.0,1.0080632137359202,0.012526055617357201,0.008063213735920005,-0.0027098815554891242,0.0185883754506444
2020-01-14,1.007931035177289,-0.00013112129956749374,0.00793103517728877,1.0073694639442339,-0.0033673545160936014,0.007369463944233656,0.9920639605981127,0.002616663115278195,-0.007936039401887474,0.0,0.0,0.0,0.0,0.0,0.0,1.007931035177289,-0.00013112129956749374,0.00793103517728877,0.0005615712330551137,0.015867074579176244
2020-01-15,1.0031306867395424,-0.004762576277753228,0.003130686739542199,1.0039801418579535,-0.0033645273234805817,0.003980141857953257,0.9817918075784539,-0.010354325353645333,-0.018208192421546365,0.0,0.0,0.0,0.0,0.0,0.0,1.0031306867395424,-0.004762576277753228,0.003130686739542199,-0.0008494551184110577,0.021338879161088564
