date,ITUB,BBDC,PETR,GGBR,ISAE,ALUP,SAPR,UNIP,TAEE,RAPT,BTG
2020-01-02,0.16,0.13,0.11,0.1,0.11,0.1,0.08,0.06,0.05,0.05,0.05
2020-01-03,0.15971582756506852,0.13001156801275865,0.10902662493890977,0.10000163697440181,0.11056770857482061,0.09982570544368821,0.08032235251850564,0.0587927578795899,0.0505435244780856,0.05149197071920628,0.04970032289496502
2020-01-06,0.1568997532500862,0.12780901130728328,0.11085943540203083,0.09865461909682025,0.11401593395970694,0.10005521469013128,0.08212069019556616,0.059071329623003425,0.05050304223145322,0.0503974531836936,0.049613517060224765
2020-01-07,0.1544118365056522,0.12630727988955318,0.1104963686171613,0.10054999105015328,0.11404526197924476,0.10076251431398622,0.08358894546467295,0.05953678599666374,0.050147021007745256,0.05126764420957946,0.048886350965587654
2020-01-08,0.15334276500292426,0.1251615050634842,0.10995556273527644,0.10164698822221532,0.11433489195168697,0.0994786573716382,0.08414328995303716,0.061173015690161245,0.05015137533986992,0.05084942381926681,0.04976252485043938
2020-01-09,0.1518163455962366,0.1241257187252593,0.11059783379583922,0.10147932474564866,0.11292034115125649,0.10029970552310531,0.08457789583628626,0.061949026353571114,0.05008405341869188,0.05203786298903909,0.050111891865065816
2020-01-10,0.15084815498307874,0.12241472281881655,0.11059424319000032,0.10317018371800184,0.11288365516399447,0.09999258062086575,0.08491169150357111,0.06218798415831284,0.050640294629607736,0.05210143653107931,0.05025505268267122
2020-01-13,0.1513192707280992,0.12252749254260309,0.1095295073869285,0.10669930800436926,0.11083944948853827,0.10011284837261585,0.08546802832570068,0.06189208884539191,0.050410448051882634,0.050772088444927914,0.05042946980894275
2020-01-14,0.15083194196623542,0.12249437474322576,0.10840686736587504,0.1050206129179755,0.11300055181543509,0.10080474001085342,0.08429954296152435,0.06256234263294377,0.050344101898586076,0.05121603652041566,0.051018887166929976
2020-01-15,0.14913163055296105,0.12026088129271506,0.10660614328584275,0.1046000030826926,0.11111908116476635,0.10196329476726862,0.08576938094268928,0.06754156993852908,0.05089421087109554,0.05098941207997956,0.05112439202146018
2020-01-16,0.14851256686376194,0.12137899250020727,0.10608398458085709,0.10477503238467237,0.11143826776826675,0.10038958774130019,0.08592450351934046,0.07042609396009335,0.05046547275524795,0.04972325776280313,0.05088224016344937
2020-01-17,0.14771745020295204,0.12201311129988289,0.1059577646537675,0.10418793511877973,0.11251871093461224,0.09977097921460255,0.08595781635318413,0.06996043667042116,0.050807778853534276,0.05107953431317611,0.05002848238508743
2020-01-20,0.14521047312894322,0.12011887902723833,0.10665120081269583,0.10809732249996855,0.11212302344072432,0.10049623035985454,0.0861580640249791,0.06841969384697798,0.051777644603718136,0.05135034243442412,0.04959712582047589
2020-01-21,0.14333127403579854,0.11719069490463,0.105424586601482,0.10673870932038153,0.11425083814194274,0.10263112957134338,0.08908179429999888,0.0681059600625653,0.05184089528551328,0.05130874109652932,0.05009537667981503
2020-01-22,0.1449526710915513,0.11791077398622543,0.1048440914201355,0.10774557283947625,0.11367764379034867,0.09929731451317877,0.08850959606910286,0.06982707030795632,0.05204184042199104,0.05178918310021932,0.04940424245981436
2020-01-23,0.1466371384726852,0.11977041104660259,0.10471629736853273,0.10689668264334058,0.11118936402889178,0.10158880901024243,0.08918530318848589,0.06871831872161686,0.05170350082056901,0.050919750402482755,0.048674424296550174
2020-01-24,0.14566668861032256,0.11940336506643331,0.10425056801305196,0.10535340266773273,0.11164015820557932,0.10364941481506325,0.0915129808563499,0.06835108565653009,0.05175924989149111,0.049966007444424095,0.04844707877302158
2020-01-27,0.14663776271517986,0.11923472522086469,0.10218359241973571,0.1010742791148231,0.11404753919585622,0.10693460991504487,0.09114633018112997,0.06753064002976393,0.05222343270777255,0.04997136114195488,0.049015727357874204
2020-01-28,0.14527129191078217,0.11888701032777586,0.10428935881422023,0.1012335334227838,0.11378009736066974,0.1072631447273321,0.09069371560526476,0.06642875365510846,0.05281924097653376,0.050532117726962235,0.048801735472566755
