calculation_month,calculation_date,tax_payment_date,monthly_realized_pnl,monthly_sales_value,monthly_transaction_cost,monthly_tax_base,loss_used,taxable_profit,tax_due,accumulated_loss_after
2020-01,2020-01-31,2020-02-28,0.012267097415644735,0.5139838992214232,0.002563510719308844,0.009703586696335892,0.0,0.009703586696335892,0.0014555380044503838,0.0
2020-02,2020-02-28,2020-03-31,-0.014292138194577435,0.10725244207277736,0.0005349248981185902,-0.014827063092696026,0.0,0.0,0.0,0.014827063092696026
2020-03,2020-03-31,2020-04-30,-0.04484758276748792,0.4165255478104384,0.002077434153668022,-0.046925016921155936,0.0,0.0,0.0,0.06175208001385196
2020-04,2020-04-30,2020-05-29,-0.04198511980616671,0.2153488124449388,0.0010740589149373506,-0.04305917872110406,0.0,0.0,0.0,0.10481125873495603
2020-05,2020-05-29,2020-06-30,0.0010619572964498491,0.08945652627485769,0.0004461672133409361,0.000615790083108913,0.000615790083108913,0.0,0.0,0.10419546865184712
2020-06,2020-06-30,2020-07-31,0.009600491831572383,0.10630238388609738,0.0005301864532972439,0.00907030537827514,0.00907030537827514,0.0,0.0,0.09512516327357198
2020-07,2020-07-31,2020-08-31,0.03823820135127419,0.06601355313509301,0.0003292446540403641,0.03790895669723383,0.03790895669723383,0.0,0.0,0.057216206576338156
2020-08,2020-08-31,2020-09-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057216206576338156
2020-09,2020-09-30,2020-10-30,0.014685650537737367,0.08684813358537355,0.000433157773493135,0.014252492764244232,0.014252492764244232,0.0,0.0,0.04296371381209392
2020-10,2020-10-30,2020-11-30,0.0008477875202262666,0.16166662810828242,0.0008063173471734785,4.147017305278808e-05,4.147017305278808e-05,0.0,0.0,0.04292224363904113
2020-11,2020-11-30,2020-12-30,-0.0019695516934828804,0.1803176339922115,0.0008993398204100325,-0.0028688915138929127,0.0,0.0,0.0,0.045791135152934044
2020-12,2020-12-30,2021-01-29,0.002048709030363737,0.13658232121631517,0.0006812085846200257,0.0013675004457437113,0.0013675004457437113,0.0,0.0,0.04442363470719033
2021-01,2021-01-29,2021-02-26,0.022219773543601627,0.2419875171400864,0.0012069202849879623,0.021012853258613663,0.021012853258613663,0.0,0.0,0.023410781448576667
2021-02,2021-02-26,2021-03-31,0.021437972930777194,0.05268935087117326,0.0002627897799061011,0.021175183150871094,0.021175183150871094,0.0,0.0,0.002235598297705574
2021-03,2021-03-31,2021-04-30,0.014986487511479983,0.502498011404888,0.0025062244957849778,0.012480263015695006,0.002235598297705574,0.010244664717989432,0.0015366997076984147,0.0
2021-04,2021-04-30,2021-05-31,0.05785407892391577,0.30535329603901473,0.0015229590824888512,0.05633111984142691,0.0,0.05633111984142691,0.008449667976214036,0.0
2021-05,2021-05-31,2021-06-30,0.07363805699504579,0.2288266071125724,0.0011412798359729298,0.07249677715907286,0.0,0.07249677715907286,0.01087451657386093,0.0
2021-06,2021-06-30,2021-07-30,0.11291336478916943,0.40353721896763256,0.0020126544586914342,0.11090071033047799,0.0,0.11090071033047799,0.016635106549571697,0.0
