pair,passed_hard_filters,rejection_reasons,observations,missing_ratio,clean_observations,correlation,spread_volatility,cointegration_pvalue,adf_pvalue,avg_volume_on,avg_volume_pn,min_average_volume,correlation_score,cointegration_score,adf_score,spread_opportunity_score,observation_score,quality_score,selected_for_analysis
ITUB,True,,2468,0.0,2468,0.8691445904370133,0.06343454856405836,0.3570253550122985,0.16520783669937322,449049.278363047,22240114.19286872,449049.278363047,0.8691445904370133,0.15,0.4,0.45,1.0,0.545743377131104,True
ISAE,False,Correlation below minimum threshold,2468,0.0,2468,0.2421116435809182,0.19737255098911338,0.691707148574041,0.3584314170316171,1333.546191247974,1267897.8051053484,1333.546191247974,0.2421116435809182,0.15,0.15,1.0,1.0,,False
ALUP,False,Correlation below minimum threshold,799,0.0,799,0.030981069282266627,0.1420786568009716,0.04034516131563827,0.002662369063117439,18829.454317897373,12595.932415519399,12595.932415519399,0.030981069282266627,0.85,1.0,1.0,0.32374392220421394,,False
PETR,True,,2468,0.0,2468,0.9376050827239559,0.0899566041091321,0.5254296168319775,0.3108643056456726,10485188.828606158,41315910.10656402,10485188.828606158,0.9376050827239559,0.15,0.15,0.75,1.0,0.5612815248171867,True
SAPR,False,Correlation below minimum threshold,2468,0.0,2468,0.04831900069283838,0.680786071407334,0.4739055555521679,0.19781336547074135,34866.84116693679,1608092.744732577,34866.84116693679,0.04831900069283838,0.15,0.4,0.65,1.0,,False
BBDC,True,,2468,0.0,2468,0.8391139095424194,0.11996542941034283,0.1714753779978242,0.052584157190623586,3112591.8537277146,19127833.776742302,3112591.8537277146,0.8391139095424194,0.4,0.65,0.75,1.0,0.6942341728627258,True
GGBR,True,,2468,0.0,2468,0.8345493328773131,0.08404055649713243,0.07662075653704677,0.023563950012555207,278914.2670178282,10976840.985008104,278914.2670178282,0.8345493328773131,0.65,0.85,0.75,1.0,0.795364799863194,True
UNIP,False,Correlation below minimum threshold,2468,0.0,2468,0.31682948748456,0.19494105958907115,0.00013182894227195142,0.0346154607367059,8477.388168557536,248300.4635332253,8477.388168557536,0.31682948748456,1.0,0.85,1.0,1.0,,False
TAEE,False,Correlation below minimum threshold,653,0.0,653,0.0914148488233893,0.06909632228807597,0.0007105975786714575,9.025778556828746e-05,4313.323124042879,8006.584992343032,4313.323124042879,0.0914148488233893,1.0,1.0,0.45,0.2645867098865478,,False
RAPT,False,Correlation below minimum threshold,2468,0.0,2468,0.36514073814586934,0.09805601577601564,0.00036672212878304043,0.0019390707550964931,7200.676256077796,1528640.923419773,7200.676256077796,0.36514073814586934,1.0,1.0,0.75,1.0,,False
BTG,False,Correlation below minimum threshold,859,0.0,859,0.12487697108877852,0.1841620735517721,0.01803262305177638,0.08942631693953879,1536.4062863795111,1790.919674039581,1536.4062863795111,0.12487697108877852,0.85,0.65,1.0,0.3480551053484603,,False
