calculation_month,calculation_date,tax_payment_date,monthly_realized_pnl,monthly_sales_value,monthly_transaction_cost,monthly_tax_base,loss_used,taxable_profit,tax_due,accumulated_loss_after
2020-01,2020-01-31,2020-02-28,0.008740491738860037,0.7512537474745078,0.0015010064884605548,0.007239485250399482,0.0,0.007239485250399482,0.0010859227875599222,0.0
2020-02,2020-02-28,2020-03-31,-0.010920903824229975,0.20860669128509504,0.0004167965859842059,-0.011337700410214181,0.0,0.0,0.0,0.011337700410214181
2020-03,2020-03-31,2020-04-30,-0.08810195323301395,0.4802027373407926,0.0009594460286529323,-0.08906139926166688,0.0,0.0,0.0,0.10039909967188107
2020-04,2020-04-30,2020-05-29,-0.013827788163182093,0.41836112021921723,0.0008358863540843499,-0.014663674517266443,0.0,0.0,0.0,0.11506277418914751
2020-05,2020-05-29,2020-06-30,-0.008051750451572302,0.2339100189034078,0.0004673526851216939,-0.008519103136693996,0.0,0.0,0.0,0.1235818773258415
2020-06,2020-06-30,2020-07-31,0.02549762578108069,0.34543881660152714,0.0006901874457572969,0.02480743833532339,0.02480743833532339,0.0,0.0,0.0987744389905181
2020-07,2020-07-31,2020-08-31,0.0023743999559929403,0.07436343430288886,0.00014857829031546225,0.002225821665677478,0.002225821665677478,0.0,0.0,0.09654861732484063
2020-08,2020-08-31,2020-09-30,0.016228747913878166,0.1702074599188198,0.000340074844992647,0.015888673068885518,0.015888673068885518,0.0,0.0,0.08065994425595512
2020-09,2020-09-30,2020-10-30,0.02199889474647588,0.30861885503436315,0.0006166210889797466,0.021382273657496134,0.021382273657496134,0.0,0.0,0.05927767059845898
2020-10,2020-10-30,2020-11-30,-0.018269279411146422,0.30029069911361206,0.0005999814168104136,-0.018869260827956834,0.0,0.0,0.0,0.07814693142641582
2020-11,2020-11-30,2020-12-30,0.021973185785587265,0.20716917587032518,0.00041392442731333714,0.021559261358273928,0.021559261358273928,0.0,0.0,0.056587670068141895
2020-12,2020-12-30,2021-01-29,0.025421265998145447,0.4401382186450027,0.0008793970402497556,0.02454186895789569,0.02454186895789569,0.0,0.0,0.0320458011102462
2021-01,2021-01-29,2021-02-26,0.020045680213367285,0.3349468062912922,0.0006692243881943901,0.019376455825172896,0.019376455825172896,0.0,0.0,0.012669345285073304
2021-02,2021-02-26,2021-03-31,0.05728062482641152,0.36966024906905876,0.0007385819162218955,0.05654204291018962,0.012669345285073304,0.043872697625116315,0.006580904643767447,0.0
2021-03,2021-03-31,2021-04-30,0.004922341878323827,0.4576252914738801,0.0009143362467010592,0.004008005631622768,0.0,0.004008005631622768,0.0006012008447434152,0.0
2021-04,2021-04-30,2021-05-31,0.04621895884891004,0.2947831330384259,0.0005889772887880637,0.04562998156012198,0.0,0.04562998156012198,0.006844497234018297,0.0
2021-05,2021-05-31,2021-06-30,0.05585566328710916,0.44933639948734194,0.0008977750239507331,0.05495788826315843,0.0,0.05495788826315843,0.008243683239473764,0.0
2021-06,2021-06-30,2021-07-30,0.08126714894673578,0.3787997739902811,0.000756842705275287,0.0805103062414605,0.0,0.0805103062414605,0.012076545936219074,0.0
2021-07,2021-07-30,2021-08-31,0.005352654850187098,0.32989022685728375,0.0006591213323821854,0.004693533517804912,0.0,0.004693533517804912,0.0007040300276707368,0.0
2021-08,2021-08-31,2021-09-30,0.013753066082869043,0.4820068148070626,0.00096305057903509,0.012790015503833952,0.0,0.012790015503833952,0.0019185023255750928,0.0
2021-09,2021-09-30,2021-10-29,-0.007909131542031458,0.17598322197091892,0.00035161482911272513,-0.008260746371144182,0.0,0.0,0.0,0.008260746371144182
2021-10,2021-10-29,2021-11-30,0.02527530947888433,0.4514656029781525,0.0009020291767795255,0.024373280302104804,0.008260746371144182,0.01611253393096062,0.0024168800896440927,0.0
2021-11,2021-11-30,2021-12-30,-0.011546648480858398,0.37524146209039366,0.0007497331909897975,-0.012296381671848195,0.0,0.0,0.0,0.012296381671848195
2021-12,2021-12-30,2022-01-31,0.003792297659060579,0.3899188777814816,0.0007790586968660971,0.003013238962194482,0.003013238962194482,0.0,0.0,0.009283142709653714
2022-01,2022-01-31,2022-02-25,0.0028739020827620518,0.5828099369833307,0.0011644554185481135,0.0017094466642139383,0.0017094466642139383,0.0,0.0,0.007573696045439776
2022-02,2022-02-25,2022-03-31,0.047555072113028216,1.1458673769050447,0.0022894453085015878,0.04526562680452663,0.007573696045439776,0.037691930759086854,0.005653789613863028,0.0
2022-03,2022-03-31,2022-04-29,0.04377596436745297,0.6240103176785535,0.0012467738614956112,0.04252919050595736,0.0,0.04252919050595736,0.006379378575893604,0.0
2022-04,2022-04-29,2022-05-31,0.010981656993405914,0.8024850937789492,0.0016033668207371613,0.009378290172668753,0.0,0.009378290172668753,0.001406743525900313,0.0
2022-05,2022-05-31,2022-06-30,0.00977881848429524,1.1495740956628682,0.0022968513399857504,0.007481967144309489,0.0,0.007481967144309489,0.0011222950716464233,0.0
2022-06,2022-06-30,2022-07-29,0.00521462712355183,0.6927288615754033,0.0013840736495013052,0.0038305534740505245,0.0,0.0038305534740505245,0.0005745830211075786,0.0
2022-07,2022-07-29,2022-08-31,0.00442987428523898,0.9297068834613302,0.0018575562107119485,0.0025723180745270318,0.0,0.0025723180745270318,0.00038584771117905475,0.0
2022-08,2022-08-31,2022-09-30,0.024013842243830373,1.0942840951060078,0.002186381808403612,0.02182746043542676,0.0,0.02182746043542676,0.003274119065314014,0.0
2022-09,2022-09-30,2022-10-31,0.02821054406531114,1.0847244353485437,0.0021672815891079795,0.026043262476203158,0.0,0.026043262476203158,0.003906489371430473,0.0
2022-10,2022-10-31,2022-11-30,0.0118154607405024,1.264394648941063,0.0025262630348472787,0.009289197705655122,0.0,0.009289197705655122,0.0013933796558482682,0.0
2022-11,2022-11-30,2022-12-29,0.019218128044191027,1.3348085694137817,0.0026669501886389248,0.0165511778555521,0.0,0.0165511778555521,0.0024826766783328153,0.0
2022-12,2022-12-29,2023-01-31,0.04125829508640527,1.7985907253116882,0.0035935878627606165,0.03766470722364466,0.0,0.03766470722364466,0.005649706083546698,0.0
2023-01,2023-01-31,2023-02-28,0.04198608344816841,1.563538443500482,0.003123952934066897,0.03886213051410151,0.0,0.03886213051410151,0.005829319577115227,0.0
2023-02,2023-02-28,2023-03-31,0.004107604525556205,0.4185339439495924,0.000836231656242942,0.003271372869313263,0.0,0.003271372869313263,0.0004907059303969894,0.0
2023-03,2023-03-31,2023-04-28,-0.015889516604156075,1.3327270034936127,0.0026627912157714544,-0.01855230781992753,0.0,0.0,0.0,0.01855230781992753
2023-04,2023-04-28,2023-05-31,0.007172038744376649,0.6888259270649966,0.0013762755785514415,0.0057957631658252075,0.0057957631658252075,0.0,0.0,0.012756544654102323
2023-05,2023-05-31,2023-06-30,0.025951325667339452,0.6693016119691114,0.0013372659579802427,0.02461405970935921,0.012756544654102323,0.011857515055256888,0.0017786272582885332,0.0
2023-06,2023-06-30,2023-07-31,0.027125039325248637,0.27761239395047976,0.0005546701177831764,0.02657036920746546,0.0,0.02657036920746546,0.003985555381119819,0.0
2023-07,2023-07-31,2023-08-31,0.08646851465996638,1.6047859301172478,0.003206365494739756,0.08326214916522663,0.0,0.08326214916522663,0.012489322374783994,0.0
2023-08,2023-08-31,2023-09-29,0.012790851330015805,0.5594719340486518,0.0011178260420552483,0.011673025287960557,0.0,0.011673025287960557,0.0017509537931940835,0.0
2023-09,2023-09-29,2023-10-31,-0.002665760303139817,0.5649269819037963,0.0011287252385690236,-0.0037944855417088408,0.0,0.0,0.0,0.0037944855417088408
2023-10,2023-10-31,2023-11-30,0.002365547508369094,0.4619259658517436,0.0009229290027007865,0.0014426185056683077,0.0014426185056683077,0.0,0.0,0.002351867036040533
2023-11,2023-11-30,2023-12-28,0.08001832937546347,2.107517263875333,0.0042108237040466194,0.07580750567141685,0.002351867036040533,0.07345563863537631,0.011018345795306446,0.0
2023-12,2023-12-28,2024-01-31,0.055657011618574115,1.7605111761357672,0.0035175048474241103,0.05213950677115001,0.0,0.05213950677115001,0.0078209260156725,0.0
2024-01,2024-01-31,2024-02-29,0.02741358916387791,1.4780453057461578,0.0029531374740182975,0.02446045168985961,0.0,0.02446045168985961,0.0036690677534789414,0.0
2024-02,2024-02-29,2024-03-28,0.07393635943921126,1.3969309676543262,0.002791070864444208,0.07114528857476705,0.0,0.07114528857476705,0.010671793286215057,0.0
2024-03,2024-03-28,2024-04-30,-0.00046804178471070303,1.4952936520286202,0.0029875997043528873,-0.00345564148906359,0.0,0.0,0.0,0.00345564148906359
2024-04,2024-04-30,2024-05-31,0.0011535652082707685,1.5782393393878005,0.003153325353422179,-0.0019997601451514106,0.0,0.0,0.0,0.005455401634215
2024-05,2024-05-31,2024-06-28,0.03603470387584344,1.5753279680571404,0.003147508427686594,0.032887195448156846,0.005455401634215,0.027431793813941847,0.004114769072091277,0.0
2024-06,2024-06-28,2024-07-31,-0.006498746864176495,1.5669936634409825,0.0031308564704115543,-0.009629603334588049,0.0,0.0,0.0,0.009629603334588049
2024-07,2024-07-31,2024-08-30,0.026374692611739848,1.0374071846846267,0.0020727416277415128,0.024301950983998337,0.009629603334588049,0.014672347649410288,0.002200852147411543,0.0
2024-08,2024-08-30,2024-09-30,0.05438855681079427,1.7472944002401514,0.0034910977027775253,0.05089745910801675,0.0,0.05089745910801675,0.007634618866202512,0.0
2024-09,2024-09-30,2024-10-31,0.03682725498492161,1.9754744816054965,0.003947001961249743,0.03288025302367187,0.0,0.03288025302367187,0.00493203795355078,0.0
2024-10,2024-10-31,2024-11-29,-0.04038486269723715,1.6294205944333,0.003255585603263337,-0.043640448300500484,0.0,0.0,0.0,0.043640448300500484
2024-11,2024-11-29,2024-12-30,-0.012929458701011304,2.052030964223096,0.004099961966479711,-0.017029420667491017,0.0,0.0,0.0,0.0606698689679915
2024-12,2024-12-30,2025-01-31,-0.00931874685772022,2.0833296035377957,0.004162496710365227,-0.013481243568085447,0.0,0.0,0.0,0.07415111253607695
2025-01,2025-01-31,2025-02-28,0.018155730112707633,2.1143219682339813,0.004224419516951013,0.01393131059575662,0.01393131059575662,0.0,0.0,0.06021980194032033
2025-02,2025-02-28,2025-03-31,0.019038351993158453,1.5505070533584586,0.0030979161905263903,0.015940435802632064,0.015940435802632064,0.0,0.0,0.044279366137688264
2025-03,2025-03-31,2025-04-30,0.01139519261302917,1.0948623064489182,0.0021875370758220147,0.009207655537207154,0.009207655537207154,0.0,0.0,0.03507171060048111
2025-04,2025-04-30,2025-05-30,0.059542993164536484,1.10686478535842,0.0022115180526641755,0.05733147511187231,0.03507171060048111,0.0222597645113912,0.0033389646767086802,0.0
2025-05,2025-05-30,2025-06-30,0.08782835691530816,1.7369023597481426,0.003470334385111174,0.08435802253019699,0.0,0.08435802253019699,0.012653703379529547,0.0
2025-06,2025-06-30,2025-07-31,-0.004854191381088065,0.9956555580505191,0.0019893217943067316,-0.006843513175394797,0.0,0.0,0.0,0.006843513175394797
2025-07,2025-07-31,2025-08-29,0.020148491361880672,2.2823615948062916,0.004560163026585997,0.015588328335294676,0.006843513175394797,0.00874481515989988,0.0013117222739849818,0.0
2025-08,2025-08-29,2025-09-30,0.06663050119071771,1.6875466825363257,0.003371721643429222,0.0632587795472885,0.0,0.0632587795472885,0.009488816932093273,0.0
2025-09,2025-09-30,2025-10-31,0.035686738966906724,1.437375722191014,0.0028718795648172103,0.032814859402089516,0.0,0.032814859402089516,0.004922228910313427,0.0
2025-10,2025-10-31,2025-11-28,0.04236555935468125,0.5237561856789725,0.0010464659054524928,0.04131909344922875,0.0,0.04131909344922875,0.006197864017384313,0.0
2025-11,2025-11-28,2025-12-30,0.08258024768225353,1.1257539384422355,0.002249258618266205,0.08033098906398732,0.0,0.08033098906398732,0.012049648359598097,0.0
2025-12,2025-12-30,,0.14462792354296486,1.7132802919410643,0.0034231374464356937,0.14120478609652917,0.0,0.14120478609652917,0.021180717914479376,0.0
