,strategy_portfolio_pre_tax_value,strategy_portfolio_pre_tax_return,strategy_portfolio_pre_tax_cumulative_return,benchmark_50_50_portfolio_value,benchmark_50_50_portfolio_return,benchmark_50_50_portfolio_cumulative_return,ibovespa_portfolio_value,ibovespa_portfolio_return,ibovespa_portfolio_cumulative_return,portfolio_daily_realized_pnl,portfolio_daily_gross_sale_value,portfolio_daily_gross_buy_value,portfolio_daily_transaction_cost,portfolio_tax_paid,portfolio_cumulative_tax_paid,strategy_portfolio_value,strategy_portfolio_return,strategy_portfolio_cumulative_return,strategy_minus_50_50,strategy_minus_ibovespa,strategy_pre_tax_minus_50_50,strategy_pre_tax_minus_ibovespa
2020-01-02,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.00026500000000000026,0.265,0.2644705294705295,0.0005294705294705295,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-03,0.9991373469327136,-0.0008626530672863897,-0.0008626530672863897,0.9923674849862552,-0.007632515013744845,-0.007632515013744845,0.9926964823357762,-0.007303517664223769,-0.007303517664223769,6.654838625053117e-06,0.05005671155017523,0.049956698140484576,0.0001000134096906598,0.0,0.0,0.9991373469327136,-0.0008626530672863897,-0.0008626530672863897,0.006769861946458455,0.006440864596937379,0.006769861946458455,0.006440864596937379
2020-01-06,1.002206349781067,0.0030716526189067395,0.0022063497810669297,0.9976557920019202,0.005328980539641925,-0.0023442079980797725,0.9857050087288002,-0.007042911636520932,-0.01429499127119982,0.0,0.0,0.0,0.0,0.0,0.0,1.002206349781067,0.0030716526189067395,0.0022063497810669297,0.004550557779146702,0.01650134105226675,0.004550557779146702,0.01650134105226675
2020-01-07,0.9953108908932724,-0.0068802785866411975,-0.004689109106727596,0.9921105347344616,-0.005558287048413102,-0.007889465265538353,0.9838833461243284,-0.0018480809048754265,-0.016116653875671627,0.0,0.0,0.0,0.0,0.0,0.0,0.9953108908932724,-0.0068802785866411975,-0.004689109106727596,0.0032003561588107576,0.011427544768944031,0.0032003561588107576,0.011427544768944031
2020-01-08,0.9861469037530474,-0.00920716052046866,-0.013853096246952634,0.9858377623318522,-0.006322654767785929,-0.014162237668147837,0.980383392509256,-0.0035572851485485835,-0.01961660749074401,0.0,0.0,0.0,0.0,0.0,0.0,0.9861469037530474,-0.00920716052046866,-0.013853096246952634,0.0003091414211952026,0.005763511243791375,0.0003091414211952026,0.005763511243791375
2020-01-09,0.984301968033487,-0.0018708528237921795,-0.015698031966512982,0.9811617759730231,-0.004743160119742962,-0.01883822402697688,0.9778533055586011,-0.0025807117603035,-0.02214669444139894,-0.0002878466913886557,0.004759875611757218,0.004750365370774687,9.510240982531905e-06,0.0,0.0,0.984301968033487,-0.0018708528237921795,-0.015698031966512982,0.0031401920604638978,0.006448662474885958,0.0031401920604638978,0.006448662474885958
2020-01-10,0.9840260323246784,-0.0002803364391923413,-0.015973967675321554,0.9770203694086426,-0.0042209212239984195,-0.022979630591357436,0.9741087768716318,-0.0038293358172268865,-0.025891223128368224,0.0,0.0,0.0,0.0,0.0,0.0,0.9840260323246784,-0.0002803364391923413,-0.015973967675321554,0.007005662916035882,0.00991725545304667,0.007005662916035882,0.00991725545304667
2020-01-13,0.9965833911158626,0.01276120588143237,-0.0034166088841374176,0.9872324769724973,0.010452297499217611,-0.012767523027502725,0.9894748382852758,0.015774482048085403,-0.010525161714724174,0.000722752053752087,0.03073849054429638,0.030677074978773308,6.141556552306969e-05,0.0,0.0,0.9965833911158627,0.01276120588143237,-0.0034166088841373066,0.009350914143365419,0.007108552830586867,0.009350914143365308,0.007108552830586756
2020-01-14,0.9935793677207287,-0.0030143221549882027,-0.0064206322792712545,0.9880758845331644,0.0008543150477116068,-0.011924115466835583,0.9920639605981127,0.002616663115278195,-0.007936039401887252,0.0,0.0,0.0,0.0,0.0,0.0,0.9935793677207289,-0.0030143221549882027,-0.0064206322792711434,0.00550348318756444,0.001515407122616108,0.005503483187564329,0.001515407122615997
2020-01-15,0.9955832054840522,0.0020167868098148745,-0.004416794515947786,0.986058149061168,-0.002042085535717497,-0.013941850938832046,0.981791807578454,-0.010354325353645222,-0.018208192421546032,0.0032403486834770346,0.03398208282004916,0.03391418655067843,6.789626937072759e-05,0.0,0.0,0.9955832054840522,0.0020167868098148745,-0.004416794515947786,0.00952505642288426,0.013791397905598246,0.00952505642288426,0.013791397905598246
2020-01-16,1.0001867534778754,0.004623971124126269,0.00018675347787544538,0.9919286377177476,0.005953491345483952,-0.008071362282252359,0.9842375582974203,0.0024911093167487852,-0.015762441702579677,0.0,0.0,0.0,0.0,0.0,0.0,1.0001867534778754,0.004623971124126269,0.00018675347787544538,0.008258115760127804,0.015949195180455122,0.008258115760127804,0.015949195180455122
2020-01-17,1.017043740853864,0.016853839862778663,0.017043740853863953,1.0087482210978045,0.01695644499059501,0.008748221097804487,0.9991988057989595,0.015200850013709966,-0.0008011942010405226,0.0,0.0,0.0,0.0,0.0,0.0,1.017043740853864,0.016853839862778663,0.017043740853863953,0.008295519756059466,0.017844935054904476,0.008295519756059466,0.017844935054904476
2020-01-20,1.0170087619496142,-3.439272358174428e-05,0.017008761949614204,1.0067902575820575,-0.0019409833641303997,0.006790257582057535,1.0024373170957976,0.003241108053815722,0.002437317095797642,0.0,0.0,0.0,0.0,0.0,0.0,1.0170087619496142,-3.439272358174428e-05,0.017008761949614204,0.010218504367556669,0.014571444853816562,0.010218504367556669,0.014571444853816562
